Symbol,Company Name,Industry,Mkt Cap,Prior Close,P/E Ratio (TTM)*,Revenue Growth CFY*,Return on Equity,EPS Growth CFY*,Dividend Yield
FLWS,1-800-Flowers.Com Inc,Other Specialty Retailers,$362.970M,9.71,84.54x,-4.46%,1.88%,-88.00%,0.00%
VCXB,10X Capital Venture Acquisition III Corp,Holding Companies,$319.318M,10.25,679.71x,0.00%,0.43%,0.00%,0.00%
TXG,10X Genomics Inc,Healthcare Equipment & Supplies,$3.531B,36.94,--,0.00%,-21.22%,0.00%,0.00%
YI,111 Inc - ADR,Software & IT Services,$300.647M,3.18,--,0.00%,0.00%,0.00%,0.00%
YQ,17 Education & Technology Group Inc-ADR,Miscellaneous Educational Service Providers,$972.095M,2.15,--,0.00%,-54.74%,0.00%,0.00%
ONEM,1life Healthcare Inc,Healthcare Providers & Services,$3.451B,16.89,--,67.58%,-23.45%,-25.00%,0.00%
SRCE,1st Source Corp,Banking Services,$1.332B,54.01,11.48x,5.10%,13.38%,3.83%,2.37%
ME^K10,23andMe Holding Co.,Healthcare Providers & Services,$670.967M,2.34,--,0.00%,-42.54%,0.00%,0.00%
TSVT,2Seventy Bio Inc,Biotechnology & Medical Research,$342.391M,9.03,--,0.00%,-220.56%,0.00%,0.00%
TWOU,2U Inc,Software & IT Services,$529.448M,6.77,--,1.66%,-54.98%,70.31%,0.00%
SCWO,374Water Inc,"Machinery, Equipment & Components",$364.841M,2.88,--,0.00%,-41.67%,0.00%,0.00%
DDD,3D Systems Corp,Electronic Equipment & Parts,$1.002B,7.64,--,-12.31%,-13.94%,0.00%,0.00%
MMM,3M Co,Consumer Goods Conglomerates,$68.242B,123.46,10.76x,-3.15%,46.08%,0.89%,4.83%
FDMT,4D Molecular Therapeutics Inc,Biotechnology & Medical Research,$663.388M,20.48,--,0.00%,-44.24%,0.00%,0.00%
COE,51Talk Online Education Group-ADR,Miscellaneous Educational Service Providers,$1.535B,6.66,0.69x,0.00%,0.00%,0.00%,0.00%
FEAM,5E Advanced Materials Inc,Metals & Mining,$344.090M,7.84,--,0.00%,-84.57%,0.00%,0.00%
ETNB,89bio Inc,Biotechnology & Medical Research,$544.948M,11.71,--,0.00%,-69.29%,32.81%,0.00%
EGHT,8x8 Inc,Communications & Networking,$514.882M,4.61,--,17.53%,-106.88%,175.00%,0.00%
AOS,A O Smith Corp,"Machinery, Equipment & Components",$7.262B,57.24,18.22x,6.41%,27.19%,1.99%,2.10%
,A P MOELLER MAERSK A S SHS B,Freight & Logistics Services,$18.251B,"2,180.00",1.36x,33.34%,61.99%,67.37%,17.00%
AMRK,A-Mark Precious Metals Inc,Metals & Mining,$821.793M,35.04,5.66x,-1.54%,34.65%,7.71%,2.28%
ATEN,A10 Networks Inc,Software & IT Services,$1.281B,17.44,34.75x,11.52%,21.74%,9.52%,1.38%
AADI,Aadi Bioscience Inc,Pharmaceuticals,$315.427M,12.93,--,"1,171.25%",-39.11%,76.79%,0.00%
AAON,Aaon Inc,"Machinery, Equipment & Components",$4.102B,77.10,61.40x,63.60%,14.64%,46.55%,0.62%
AIR,AAR Corp,Aerospace & Defense,$1.486B,43.12,17.00x,5.12%,8.84%,22.69%,0.00%
AAN,Aaron's Company Inc,Banking Services,$349.661M,11.36,22.54x,21.97%,2.37%,-46.93%,3.96%
ABB,ABB Ltd (ADR),"Machinery, Equipment & Components",$38.168B,30.47,14.80x,1.22%,31.46%,0.00%,2.88%
ABT,Abbott Laboratories,Healthcare Equipment & Supplies,$188.550B,108.14,24.29x,0.31%,22.51%,0.19%,1.89%
ABBV,AbbVie Inc,Pharmaceuticals,$286.865B,162.21,21.61x,3.72%,90.32%,17.24%,3.65%
ABCM,Abcam PLC (ADR),Pharmaceuticals,$3.641B,15.88,444.75x,0.00%,1.00%,0.00%,0.00%
ABCL,AbCellera Biologics Inc,Biotechnology & Medical Research,$3.033B,10.60,13.26x,38.10%,22.54%,33.33%,0.00%
ANF,Abercrombie & Fitch Co,Other Specialty Retailers,$1.074B,21.92,53.30x,-2.24%,3.86%,-95.86%,0.00%
ABMD,ABIOMED Inc,Healthcare Equipment & Supplies,$17.181B,381.02,65.49x,10.03%,18.24%,8.56%,0.00%
ABM,ABM Industries Inc,Professional & Commercial Services  ,$3.026B,45.74,13.41x,3.67%,13.86%,-3.83%,1.92%
FAX,abrdn Asia-Pacific Income Fund Inc,Collective Investments ,$653.915M,2.64,--,0.00%,-16.75%,0.00%,12.50%
AWP,Abrdn Global Premier Properties Fund,Collective Investments ,$397.000M,3.97,--,0.00%,0.00%,0.00%,12.09%
AOD,Abrdn Total Dynamic Dividend Fund,Collective Investments ,$817.285M,7.91,--,0.00%,0.00%,0.00%,8.72%
AGRPY,Absa Group Ltd (ADR),Banking Services,$8.951B,21.12,0.00x,0.00%,0.00%,0.00%,8.30%
ASO,Academy Sports and Outdoors Inc,Other Specialty Retailers,$3.996B,51.13,7.20x,0.00%,41.71%,0.00%,0.59%
ACHC,Acadia Healthcare Company Inc,Healthcare Providers & Services,$7.598B,83.52,27.04x,12.15%,10.90%,21.48%,0.00%
ACAD,ACADIA Pharmaceuticals Inc,Biotechnology & Medical Research,$2.479B,15.31,--,6.44%,-43.79%,-25.71%,0.00%
AKR,Acadia Realty Trust,Residential & Commercial REITs,$1.343B,14.14,--,3.33%,-2.32%,0.00%,5.09%
ACEL,Accel Entertainment Inc,Hotels & Entertainment Services,$667.373M,7.63,10.44x,0.00%,39.13%,0.00%,0.00%
ACN,Accenture Plc,Software & IT Services,$177.054B,268.92,24.42x,4.78%,32.55%,7.00%,1.67%
ACCO,ACCO Brands Corp,Professional & Commercial Services  ,$522.206M,5.54,27.87x,-3.45%,2.75%,-24.11%,5.42%
ACCD,Accolade Inc,Healthcare Providers & Services,$599.971M,8.34,--,15.86%,-64.75%,-224.35%,0.00%
ACIW,ACI Worldwide Inc,Financial Technology (Fintech) & Infrastructure,$2.401B,21.37,15.51x,1.95%,13.49%,25.00%,0.00%
ACRS,Aclaris Therapeutics Inc,Biotechnology & Medical Research,$1.000B,15.00,--,254.89%,-37.61%,-30.19%,0.00%
ACMR,ACM Research Inc,Semiconductors & Semiconductor Equipment ,$462.723M,8.51,17.46x,0.00%,10.54%,0.00%,0.00%
ACNB,ACNB Corporation,Banking Services,$350.357M,41.17,11.93x,0.00%,11.97%,0.00%,2.72%
ACRO,Acropolis Infrastructure Acquisitin Corp,Holding Companies,$340.860M,9.88,--,0.00%,-0.33%,0.00%,0.00%
ATVI,Activision Blizzard Inc,Software & IT Services,$59.393B,75.89,35.65x,-2.90%,9.36%,-18.01%,0.62%
AYI,Acuity Brands Inc,Homebuilding & Construction Supplies,$5.430B,168.84,15.16x,4.07%,19.41%,6.63%,0.31%
GOLF,Acushnet Holdings Corp,Leisure Products,$3.062B,43.61,18.46x,4.64%,16.10%,13.03%,1.65%
ACVA,ACV Auctions Inc,Software & IT Services,$981.359M,8.34,--,18.04%,-19.35%,-9.68%,0.00%
ADX,Adams Diversified Equity Fund Inc,Collective Investments ,$1.743B,14.79,--,0.00%,-9.85%,0.00%,1.69%
PEO,Adams Natural Resources Fund Inc,Collective Investments ,$529.589M,21.63,4.47x,0.00%,23.92%,0.00%,4.99%
AHCO,Adapthealth Corp,Healthcare Equipment & Supplies,$2.564B,19.03,29.90x,0.00%,4.20%,0.00%,0.00%
